"market","country","province","city"
north america,USA,California,Los Angeles
north america,USA,Texas,Houston
north america,Canada,Ontario,Toronto
north america,Mexico,Jalisco,Guadalajara
european union,Germany,Bavaria,Munich
european union,France,Île-de-France,Paris
european union,Italy,Lombardy,Milan
european union,Spain,Catalonia,Barcelona
european union,Netherlands,South Holland,Rotterdam
east asia,Japan,Tokyo,Tokyo
east asia,Japan,Osaka,Osaka
east asia,South Korea,Seoul,Seoul
east asia,China,Guangdong,Shenzhen
east asia,China,Shanghai,Shanghai
south america,Brazil,São Paulo,São Paulo
south america,Argentina,Buenos Aires,Buenos Aires
oceania,Australia,New South Wales,Sydney
oceania,New Zealand,Auckland,Auckland
africa,South Africa,Gauteng,Johannesburg
middle east,UAE,Dubai,Dubai
north america,USA,New York,New York City
north america,USA,Illinois,Chicago
north america,Canada,Quebec,Montreal
north america,Mexico,Nuevo León,Monterrey
european union,Germany,North Rhine-Westphalia,Cologne
european union,France,Provence-Alpes-Côte,Marseille
european union,Italy,Lazio,Rome
european union,Spain,Madrid,Madrid
european union,Sweden,Stockholm County,Stockholm
european union,Poland,Masovian Voivodeship,Warsaw
east asia,Japan,Aichi,Nagoya
east asia,South Korea,Busan,Busan
east asia,China,Beijing,Beijing
south america,Brazil,Rio de Janeiro,Rio de Janeiro
south america,Chile,Santiago Metropolitan,Santiago
south america,Colombia,Bogotá,Bogotá
oceania,Australia,Victoria,Melbourne
africa,Egypt,Cairo Governorate,Cairo
middle east,Turkey,Istanbul Province,Istanbul
middle east,Saudi Arabia,Riyadh Province,Riyadh
