"supplier_name","location_id"
AutoParts Inc.,1
Global Motors,2
Nippon Supplies,3
EuroAuto,4
LatinCar Parts,5
Bavaria Auto,6
Lombardy Components,7
Iberia Motors,8
Dutch Car Systems,9
Tokyo AutoTech,10
Osaka Components,11
Seoul Auto,12
Shenzhen Electronics,13
Shanghai Mechanics,14
Brasil AutoParts,15
Argentinian Motors,16
Sydney CarTech,17
Auckland Auto,18
Africa Car Solutions,19
Middle East Engines,20
Detroit Engines,21
Canadian AutoParts,22
Mexico Motors,23
Andes Car Components,24
Scandinavian AutoTech,25
Swiss Precision Motors,26
Benelux AutoParts,27
Baltic Car Supplies,28
Celtic Motors,29
Mediterranean Auto,30
Indian Car Systems,31
Bangkok Auto Solutions,32
Hanoi Vehicle Parts,33
Jakarta AutoTech,34
Manila Motors,35
Cape Town AutoWorks,36
Moscow AutoParts,37
Istanbul Motors,38
Dubai Car Components,39
Singapore Auto Innovations,40
